forwarded url,has a unique id?,Id,Domain,Pairing domain to Affiliate ID
http://adserver2.utextads.com/adsm.html,maybe static,,, - 
http://go.ad2upapp.com/afu.php?id=773263,maybe has id,773263,go.ad2upapp.com,go.ad2upapp.com - 773263
http://adserver1.utextads.com/adsm.html,maybe static,,, - 
http://go.ad2up.com/afu.php?id=773263,maybe has id,773263,go.ad2up.com,go.ad2up.com - 773263
http://static.dbmads.com/vs,maybe static,,, - 
http://static.dbmads.com/staticd.html,maybe static,,, - 
https://ylx-4.com/fullpage.php?section=General&pub=125652&ga=g,maybe has id,125652,ylx-4.com,ylx-4.com - 125652
http://static.dbmads.com/static.html,maybe static,,, - 
http://go.ad2upapp.com/afu.php?id=1209127,maybe has id,1209127,go.ad2upapp.com,go.ad2upapp.com - 1209127
https://conceau.co/bV3ZVR0OPB3LpOvMbCmWVDJUZDDM0MyYNTjSkRyTMHDJcGzZLPTJIK2KOWTRIJxKMOjTEH=T,maybe has id,bV3ZVR0OPB3LpOvMbCmWVDJUZDDM0MyYNTjSkRyTMHDJcGzZLPTJIK2KOWTRIJxKMOjTEH=T,conceau.co,conceau.co - bV3ZVR0OPB3LpOvMbCmWVDJUZDDM0MyYNTjSkRyTMHDJcGzZLPTJIK2KOWTRIJxKMOjTEH=T
http://cs6hm.com/watch?key=3e73d64a401c1e5b8b3eb33316b711e0,maybe has id,3e73d64a401c1e5b8b3eb33316b711e0,cs6hm.com,cs6hm.com - 3e73d64a401c1e5b8b3eb33316b711e0
http://infinitiads.com/iads.html,maybe static,,, - 
http://infinitiads.com/ad1/ad1.html,maybe static,,, - 
http://rapidyl.net/out?zoneId=1892611-1892737,maybe has id,1892611-1892737,rapidyl.net,rapidyl.net - 1892611-1892737
http://zo.ee/4PYT,maybe static,,, - 
http://p166250.eclkmpbn.com/adServe/banners?tid=KF1DK&action=r,maybe has id,KF1DK,p166250.eclkmpbn.com,p166250.eclkmpbn.com - KF1DK
http://nexploreads.com/iads.html,maybe static,,, - 
http://ceesty.com/qG3Ng7,maybe static,,, - 
http://adserver1.utextads.com/clk2p.html,maybe static,,, - 
http://www.clicksgear.com/watch?key=3e73d64a401c1e5b8b3eb33316b711e0,maybe has id,3e73d64a401c1e5b8b3eb33316b711e0,clicksgear.com,clicksgear.com - 3e73d64a401c1e5b8b3eb33316b711e0
http://static.dbmads.com/cstatic.html,maybe static,,, - 
http://adserver1.utextads.com/clk.html,maybe static,,, - 
http://infads-1372369412.eu-west-1.elb.amazonaws.com/stred.html,maybe static,,, - 
http://nexploreads.com/ad1/ad1.html,maybe static,,, - 
http://static.dbmads.com/nwp/static.html,maybe static,,, - 
http://go.oclasrv.com/afu.php?id=896707,maybe has id,896707,go.oclasrv.com,go.oclasrv.com - 896707
http://cpm10.com/watch?key=3e73d64a401c1e5b8b3eb33316b711e0,maybe has id,3e73d64a401c1e5b8b3eb33316b711e0,cpm10.com,cpm10.com - 3e73d64a401c1e5b8b3eb33316b711e0
http://rapidyl.net/out?zoneId=1924441-1924543,maybe has id,1924441-1924543,rapidyl.net,rapidyl.net - 1924441-1924543
http://www.hitcpm.com/watch?key=e4c634c55ad300b85c8760d9e09104cd,maybe has id,e4c634c55ad300b85c8760d9e09104cd,hitcpm.com,hitcpm.com - e4c634c55ad300b85c8760d9e09104cd
http://go.ad2up.com/afu.php?id=758873,maybe has id,758873,go.ad2up.com,go.ad2up.com - 758873
http://www.urldelivery.com/watch?key=3e73d64a401c1e5b8b3eb33316b711e0,maybe has id,3e73d64a401c1e5b8b3eb33316b711e0,urldelivery.com,urldelivery.com - 3e73d64a401c1e5b8b3eb33316b711e0
http://go.ad2up.com/afu.php?id=862744,maybe has id,862744,go.ad2up.com,go.ad2up.com - 862744
https://go.ad2up.com/afu.php?id=758873,maybe has id,758873,go.ad2up.com,go.ad2up.com - 758873
