table_name,result_ct,notes
`censys-io.ipv4_public.20150912`,0,
`censys-io.ipv4_public.20151012`,0,
`censys-io.ipv4_public.20151019`,0,
`censys-io.ipv4_public.20151026`,0,
`censys-io.ipv4_public.20151109`,0,
`censys-io.ipv4_public.20151116`,0,
`censys-io.ipv4_public.20151123`,0,
`censys-io.ipv4_public.20151214`,0,
`censys-io.ipv4_public.20151221`,0,
`censys-io.ipv4_public.20151228`,0,
`censys-io.ipv4_public.20160208`,0,
`censys-io.ipv4_public.20160215`,0,
`censys-io.ipv4_public.20160222`,0,
`censys-io.ipv4_public.20160229`,0,
`censys-io.ipv4_public.20160307`,0,
`censys-io.ipv4_public.20160314`,0,
`censys-io.ipv4_public.20160321`,0,
`censys-io.ipv4_public.20160328`,0,
`censys-io.ipv4_public.20160404`,0,
`censys-io.ipv4_public.20160411`,0,
`censys-io.ipv4_public.20160425`,0,
`censys-io.ipv4_public.20160502`,0,
`censys-io.ipv4_public.20160516`,0,
`censys-io.ipv4_public.20160523`,0,
`censys-io.ipv4_public.20160616`,0,
`censys-io.ipv4_public.20160620`,0,
`censys-io.ipv4_public.20160628`,0,
`censys-io.ipv4_public.20160705`,0,
`censys-io.ipv4_public.20160712`,0,
`censys-io.ipv4_public.20160719`,0,
`censys-io.ipv4_public.20160724`,0,
`censys-io.ipv4_public.20160806`,0,
`censys-io.ipv4_public.20160814`,0,
`censys-io.ipv4_public.20160823`,0,
`censys-io.ipv4_public.20160831`,0,
`censys-io.ipv4_public.20160905`,0,
`censys-io.ipv4_public.20160915`,0,
`censys-io.ipv4_public.20160925`,0,
`censys-io.ipv4_public.20161002`,0,
`censys-io.ipv4_public.20161005`,0,
`censys-io.ipv4_public.20161015`,0,
`censys-io.ipv4_public.20161018`,0,
`censys-io.ipv4_public.20161025`,0,
`censys-io.ipv4_public.20161101`,0,
`censys-io.ipv4_public.20161105`,0,
`censys-io.ipv4_public.20161109`,0,
`censys-io.ipv4_public.20161121`,0,
`censys-io.ipv4_public.20161205`,0,
`censys-io.ipv4_public.20161214`,0,
`censys-io.ipv4_public.20161220`,0,
`censys-io.ipv4_public.20161227`,0,
`censys-io.ipv4_public.20170101`,0,
`censys-io.ipv4_public.20170106`,0,
`censys-io.ipv4_public.20170113`,0,
`censys-io.ipv4_public.20170120`,0,
`censys-io.ipv4_public.20170123`,0,
`censys-io.ipv4_public.20170207`,0,
`censys-io.ipv4_public.20170225`,0,no_more_p7545
`censys-io.ipv4_public.20170228`,0,
`censys-io.ipv4_public.20170317`,0,
`censys-io.ipv4_public.20170321`,0,
`censys-io.ipv4_public.20170328`,0,
`censys-io.ipv4_public.20170404`,0,
`censys-io.ipv4_public.20170411`,0,
`censys-io.ipv4_public.20170418`,0,
`censys-io.ipv4_public.20170425`,0,
`censys-io.ipv4_public.20170502`,0,
`censys-io.ipv4_public.20170509`,0,
`censys-io.ipv4_public.20170516`,0,
`censys-io.ipv4_public.20170523`,0,
`censys-io.ipv4_public.20170608`,0,
`censys-io.ipv4_public.20170629`,36,
`censys-io.ipv4_public.20170704`,36,
`censys-io.ipv4_public.20170715`,0,
`censys-io.ipv4_public.20170718`,0,
`censys-io.ipv4_public.20170725`,0,
`censys-io.ipv4_public.20170801`,0,
`censys-io.ipv4_public.20170808`,0,
`censys-io.ipv4_public.20170815`,0,
`censys-io.ipv4_public.20170905`,0,
`censys-io.ipv4_public.20170912`,0,
`censys-io.ipv4_public.20170919`,0,
`censys-io.ipv4_public.20170920`,0,
`censys-io.ipv4_public.20170921`,0,
`censys-io.ipv4_public.20170922`,0,
`censys-io.ipv4_public.20170923`,0,
`censys-io.ipv4_public.20170924`,0,
`censys-io.ipv4_public.20170925`,0,
`censys-io.ipv4_public.20170926`,0,
`censys-io.ipv4_public.20170927`,0,
`censys-io.ipv4_public.20170928`,0,
`censys-io.ipv4_public.20170929`,0,
`censys-io.ipv4_public.20170930`,0,
`censys-io.ipv4_public.20171001`,0,
`censys-io.ipv4_public.20171002`,0,
`censys-io.ipv4_public.20171003`,0,
`censys-io.ipv4_public.20171004`,0,
`censys-io.ipv4_public.20171005`,0,
`censys-io.ipv4_public.20171006`,0,
`censys-io.ipv4_public.20171007`,0,
`censys-io.ipv4_public.20171008`,0,
`censys-io.ipv4_public.20171009`,0,
`censys-io.ipv4_public.20171010`,0,
`censys-io.ipv4_public.20171011`,0,
`censys-io.ipv4_public.20171012`,0,
`censys-io.ipv4_public.20171013`,0,
`censys-io.ipv4_public.20171014`,0,
`censys-io.ipv4_public.20171015`,0,
`censys-io.ipv4_public.20171016`,0,
`censys-io.ipv4_public.20171017`,0,
`censys-io.ipv4_public.20171018`,0,
`censys-io.ipv4_public.20171019`,0,
`censys-io.ipv4_public.20171020`,0,
`censys-io.ipv4_public.20171021`,0,
`censys-io.ipv4_public.20171022`,0,
`censys-io.ipv4_public.20171023`,0,
`censys-io.ipv4_public.20171024`,0,
`censys-io.ipv4_public.20171025`,0,
`censys-io.ipv4_public.20171026`,0,
`censys-io.ipv4_public.20171027`,0,
`censys-io.ipv4_public.20171028`,0,
`censys-io.ipv4_public.20171029`,0,
`censys-io.ipv4_public.20171030`,0,
`censys-io.ipv4_public.20171031`,0,
`censys-io.ipv4_public.20171101`,0,
`censys-io.ipv4_public.20171102`,0,
`censys-io.ipv4_public.20171103`,0,
`censys-io.ipv4_public.20171107`,0,
`censys-io.ipv4_public.20171109`,0,no_more_p8080_and_p8888
`censys-io.ipv4_public.20171110`,0,
`censys-io.ipv4_public.20171113`,0,
`censys-io.ipv4_public.20171114`,0,
`censys-io.ipv4_public.20171115`,0,
`censys-io.ipv4_public.20171116`,0,
`censys-io.ipv4_public.20171117`,0,
`censys-io.ipv4_public.20171118`,0,
`censys-io.ipv4_public.20171119`,0,
`censys-io.ipv4_public.20171120`,0,
`censys-io.ipv4_public.20171121`,0,
`censys-io.ipv4_public.20171122`,0,
`censys-io.ipv4_public.20171123`,0,
`censys-io.ipv4_public.20171124`,0,
`censys-io.ipv4_public.20171125`,0,
`censys-io.ipv4_public.20171126`,0,
`censys-io.ipv4_public.20171127`,0,
`censys-io.ipv4_public.20171128`,0,
`censys-io.ipv4_public.20171129`,0,
`censys-io.ipv4_public.20171130`,0,
`censys-io.ipv4_public.20171201`,0,
`censys-io.ipv4_public.20171202`,0,ERR: permission_denied
`censys-io.ipv4_public.20171203`,0,
`censys-io.ipv4_public.20171204`,0,
`censys-io.ipv4_public.20171205`,0,
`censys-io.ipv4_public.20171206`,84,
`censys-io.ipv4_public.20171207`,101,
`censys-io.ipv4_public.20171208`,101,
`censys-io.ipv4_public.20171209`,101,
`censys-io.ipv4_public.20171210`,101,
`censys-io.ipv4_public.20171211`,101,
`censys-io.ipv4_public.20171212`,101,
`censys-io.ipv4_public.20171213`,96,
`censys-io.ipv4_public.20171214`,0,
`censys-io.ipv4_public.20171216`,0,
`censys-io.ipv4_public.20171217`,0,
`censys-io.ipv4_public.20171218`,0,
`censys-io.ipv4_public.20171219`,0,ERR: permission_denied
`censys-io.ipv4_public.20171220`,0,
`censys-io.ipv4_public.20171221`,0,
`censys-io.ipv4_public.20171222`,0,
`censys-io.ipv4_public.20171223`,0,
`censys-io.ipv4_public.20171224`,0,
`censys-io.ipv4_public.20171225`,0,
`censys-io.ipv4_public.20171226`,0,
`censys-io.ipv4_public.20171227`,0,
`censys-io.ipv4_public.20171228`,0,
`censys-io.ipv4_public.20171229`,0,
`censys-io.ipv4_public.20171230`,0,
`censys-io.ipv4_public.20171231`,0,
`censys-io.ipv4_public.20180103`,0,
`censys-io.ipv4_public.20180104`,5443,
`censys-io.ipv4_public.20180105`,5443,
`censys-io.ipv4_public.20180106`,5443,
`censys-io.ipv4_public.20180107`,5443,
`censys-io.ipv4_public.20180108`,5443,
`censys-io.ipv4_public.20180109`,5443,
`censys-io.ipv4_public.20180110`,5163,
`censys-io.ipv4_public.20180111`,0,
`censys-io.ipv4_public.20180112`,0,
`censys-io.ipv4_public.20180113`,0,
`censys-io.ipv4_public.20180114`,0,
`censys-io.ipv4_public.20180115`,0,
`censys-io.ipv4_public.20180116`,0,
`censys-io.ipv4_public.20180117`,0,
`censys-io.ipv4_public.20180118`,0,
`censys-io.ipv4_public.20180119`,0,
`censys-io.ipv4_public.20180120`,0,
`censys-io.ipv4_public.20180121`,0,
`censys-io.ipv4_public.20180122`,0,
`censys-io.ipv4_public.20180123`,0,
`censys-io.ipv4_public.20180124`,0,
`censys-io.ipv4_public.20180125`,0,
`censys-io.ipv4_public.20180126`,0,
`censys-io.ipv4_public.20180127`,0,
`censys-io.ipv4_public.20180128`,0,
`censys-io.ipv4_public.20180129`,0,
`censys-io.ipv4_public.20180130`,0,
`censys-io.ipv4_public.20180131`,0,
`censys-io.ipv4_public.20180201`,0,
